Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression,0.7487579843860894,0.5174216027874564,0.7941176470588235,0.6265822784810127,0.8445116122865484
DecisionTree,0.7735982966643009,0.5599128540305011,0.6871657754010695,0.617046818727491,0.8177658942364825
RandomForest,0.7757274662881476,0.5591836734693878,0.732620320855615,0.6342592592592593,0.8418055232633237
SVM,0.765791341376863,0.5438247011952191,0.7299465240641712,0.6232876712328768,0.8218644242940919
KNN,0.6941092973740242,0.4535073409461664,0.7433155080213903,0.563323201621074,0.7789092975793743
XGBoost,0.7735982966643009,0.5604395604395604,0.6818181818181818,0.6151990349819059,0.8391278514040663
CatBoost,0.7877927608232789,0.5989445910290238,0.606951871657754,0.602921646746348,0.8417796894778993
ANN,0.7544357700496807,0.5263157894736842,0.7486631016042781,0.6181015452538632,0.8353897026531298
